"Torchmark Corporation Common St",55.67,50.82,N/A,N/A,55.45,55.44,+0.11,"+0.11 - +0.20%",N/A,N/A,"+0.20%",N/A,N/A,55.22,55.73,N/A,"8:00pm - <b>55.56</b>",55.56,54.75,N/A,N/A,N/A,"55.22 - 55.73",N/A,63.26,48.47,7.09,-7.70,+14.63%,-12.17%,"48.47 - 63.26",678213,100,100,94351,724634,4.16,4.38,4.72,1.09,34.62,850.23M,1.82,1.60,13.36,N/A,1.81,12.68,11.77,6.28,1.01,0.56,"4/29/2016","3/31/2016","4/15/2016",N/A,"8:00pm",-0.29,-0.52%,1.46,+2.70%,54.10,55.85,N/A,N/A,N/A,N/A,N/A,678213,6.85B,N/A,121096000,N/A,"TMK",N/A,"NYQ",123330000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.77B
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"TMK^B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"TMK^C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Toro Company (The) Common Stock",93.49,84.39,N/A,N/A,88.79,88.92,+0.15,"+0.15 - +0.17%",N/A,N/A,"+0.17%",N/A,N/A,88.40,89.07,N/A,"8:00pm - <b>88.94</b>",88.94,98.00,N/A,N/A,N/A,"88.40 - 89.07",N/A,89.11,64.71,24.23,-0.17,+37.44%,-0.19%,"64.71 - 89.11",235030,100,100,34946,320323,3.72,4.02,4.48,1.06,8.36,370.91M,2.03,10.62,23.93,N/A,1.47,22.12,19.85,3.16,1.35,1.20,"4/12/2016","3/24/2016","4/15/2016",N/A,"8:00pm",12.26,+15.99%,3.89,+4.57%,85.05,76.68,N/A,N/A,N/A,N/A,N/A,235030,4.89B,N/A,53594000,N/A,"TTC",N/A,"NYQ",55013000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.40B
"Toronto Dominion Bank (The) Com",43.34,42.94,N/A,N/A,43.36,43.27,-0.11,"-0.11 - -0.25%",N/A,N/A,"-0.25%",N/A,N/A,43.09,43.37,N/A,"8:00pm - <b>43.25</b>",43.25,43.58,N/A,N/A,N/A,"43.09 - 43.37",N/A,46.78,33.49,9.76,-3.53,+29.14%,-7.55%,"33.49 - 46.78",1551958,100,400,22402,1781680,3.32,4.77,5.05,1.22,27.87,0.00,3.40,1.56,13.02,N/A,1.72,9.07,8.56,7.78,3.86,1.67,"4/30/2016","4/6/2016","4/15/2016",N/A,"8:00pm",3.46,+8.70%,1.47,+3.53%,41.78,39.79,N/A,N/A,N/A,N/A,N/A,1551958,80.03B,N/A,1794180000,N/A,"TD",N/A,"NYQ",1850300000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.59B
"Tortoise Energy Independence Fu",11.99,11.87,N/A,N/A,12.22,12.12,-0.23,"-0.23 - -1.88%",N/A,N/A,"-1.88%",N/A,N/A,11.95,12.12,N/A,"8:00pm - <b>11.99</b>",11.99,N/A,N/A,N/A,N/A,"11.95 - 12.12",N/A,21.94,7.75,4.24,-9.95,+54.71%,-45.35%,"7.75 - 21.94",40444,200,100,200,91526,N/A,N/A,N/A,0.00,0.00,0.00,N/A,N/A,N/A,N/A,0.00,N/A,N/A,0.00,0.00,0.00,"2/29/2016","2/18/2016","4/15/2016",N/A,"8:00pm",0.30,+2.53%,0.84,+7.54%,11.15,11.69,N/A,N/A,N/A,N/A,N/A,40444,N/A,N/A,N/A,N/A,"NDP",N/A,"NYQ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Tortoise Energy Infrastructure ",27.39,23.08,N/A,N/A,25.51,25.44,-0.28,"-0.28 - -1.10%",N/A,N/A,"-1.10%",N/A,N/A,24.96,25.75,N/A,"8:00pm - <b>25.23</b>",25.23,41.50,N/A,N/A,N/A,"24.96 - 25.75",N/A,44.68,18.50,6.73,-19.45,+36.38%,-43.53%,"18.50 - 44.68",210899,100,100,1360,320673,-14.92,2.50,2.71,0.65,0.00,0.00,N/A,N/A,N/A,N/A,4.08,10.09,N/A,0.00,8.20,2.58,"2/29/2016","2/18/2016","4/15/2016",N/A,"8:00pm",-0.47,-1.81%,0.59,+2.39%,24.64,25.70,N/A,N/A,N/A,N/A,N/A,210899,N/A,N/A,N/A,N/A,"TYG",N/A,"NYQ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Tortoise MLP Fund, Inc. Common ",16.06,16.04,N/A,N/A,16.20,16.10,-0.13,"-0.13 - -0.80%",N/A,N/A,"-0.80%",N/A,N/A,15.97,16.32,N/A,"8:00pm - <b>16.07</b>",16.07,N/A,N/A,N/A,N/A,"15.97 - 16.32",N/A,25.71,11.60,4.47,-9.64,+38.53%,-37.50%,"11.60 - 25.71",171465,100,200,400,275665,1.86,1.67,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,8.40,1.55,N/A,N/A,"4/15/2016",N/A,"8:00pm",0.06,+0.39%,-0.07,-0.44%,16.14,16.01,N/A,N/A,N/A,N/A,N/A,171465,N/A,N/A,N/A,N/A,"NTG",N/A,"NYQ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Tortoise Pipeline & Energy Fund",15.20,15.04,N/A,N/A,15.40,15.20,-0.24,"-0.24 - -1.56%",N/A,N/A,"-1.56%",N/A,N/A,15.07,15.35,N/A,"8:00pm - <b>15.16</b>",15.16,27.00,N/A,N/A,N/A,"15.07 - 15.35",N/A,30.15,9.24,5.92,-14.99,+64.07%,-49.72%,"9.24 - 30.15",32136,100,100,150,62603,N/A,nan,N/A,0.00,0.00,0.00,N/A,N/A,N/A,N/A,0.00,N/A,N/A,0.00,1.70,0.34,"2/29/2016","2/18/2016","4/15/2016",N/A,"8:00pm",-0.12,-0.78%,0.92,+6.48%,14.24,15.28,N/A,N/A,N/A,N/A,N/A,32136,N/A,N/A,N/A,N/A,"TTP",N/A,"NYQ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Tortoise Power and Energy Infra",19.14,16.11,N/A,N/A,17.86,17.65,-0.26,"-0.26 - -1.46%",N/A,N/A,"-1.46%",N/A,N/A,17.60,17.80,N/A,"8:00pm - <b>17.60</b>",17.60,21.00,N/A,N/A,N/A,"17.60 - 17.80",N/A,28.47,12.33,5.27,-10.87,+42.74%,-38.18%,"12.33 - 28.47",11259,100,100,100,40390,N/A,0.73,N/A,0.00,0.00,0.00,N/A,N/A,N/A,N/A,0.00,N/A,N/A,0.00,3.80,0.79,"3/31/2016","3/22/2016","4/15/2016",N/A,"8:00pm",0.48,+2.83%,0.90,+5.37%,16.70,17.12,N/A,N/A,N/A,N/A,N/A,11259,N/A,N/A,N/A,N/A,"TPZ",N/A,"NYQ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
